S_No,MetroMate_Platform,B2B_B2C,Category,Sub_Category,Repair_Related_Service,Maintenance_Related_Service,Keywords_Tags
137,MetroMate B2B + B2C,Both,Playgroup,Early Learning,Early Learning – Activity Correction & Support,Early Learning – Progress Review,"playgroup,early_learning"
138,MetroMate B2B + B2C,Both,Playgroup,Activity Classes,Activity Classes – Correction & Support,Activity Classes – Progress Review,"playgroup,activity_classes"
139,MetroMate B2B + B2C,Both,Daycare Services,Full Day Care,Full Day Care – Issue Resolution & Support,Full Day Care – Care Plan Review,"daycare_services,full_day_care"
140,MetroMate B2B + B2C,Both,Daycare Services,After School Care,After School Care – Issue Resolution & Support,After School Care – Care Plan Review,"daycare_services,after_school_care"
141,MetroMate B2B,B2B,Digital Marketing,Social Media Marketing,Social Media Marketing – Campaign Fix & Optimization,Social Media – Performance Review,"digital_marketing,social_media_marketing"
142,MetroMate B2B,B2B,Digital Marketing,Performance Marketing,Performance Marketing – Campaign Fix & Optimization,Performance Marketing – Review & Reporting,"digital_marketing,performance_marketing"
143,MetroMate B2B + B2C,Both,SEO,Local SEO,Local SEO – Audit & Fix,Local SEO – Ongoing Optimization,"seo,local_seo"
144,MetroMate B2B + B2C,Both,SEO,Website SEO,Website SEO – Audit & Fix,Website SEO – Ongoing Optimization,"seo,website_seo"
145,MetroMate B2B + B2C,Both,Meta Ads,Facebook Ads,Facebook Ads – Campaign Fix & Optimization,Facebook Ads – Performance Review,"meta_ads,facebook_ads"
146,MetroMate B2B + B2C,Both,Meta Ads,Instagram Ads,Instagram Ads – Campaign Fix & Optimization,Instagram Ads – Performance Review,"meta_ads,instagram_ads"
147,MetroMate B2B + B2C,Both,Lead Generation,B2B Leads,B2B Leads – Quality Review & Replacement,B2B Leads – Ongoing Lead Management,"lead_generation,b2b_leads"
148,MetroMate B2B + B2C,Both,Lead Generation,Qualified Appointments,Qualified Appointments – Rebooking & Fix,Appointments – Ongoing Pipeline Review,"lead_generation,qualified_appointments"
149,MetroMate B2B,B2B,Physical Marketing,Pamphlet Distribution,Pamphlet Distribution – Re-distribution & Fix,Pamphlet Distribution – Schedule Review,"physical_marketing,pamphlet_distribution"
150,MetroMate B2B,B2B,Physical Marketing,Stall Promotion,Stall Promotion – Issue Resolution & Support,Stall Promotion – Performance Review,"physical_marketing,stall_promotion"
151,MetroMate B2B,B2B,Growth Marketing,Customer Acquisition,Customer Acquisition – Campaign Fix & Review,Customer Acquisition – Ongoing Optimization,"growth_marketing,customer_acquisition"
152,MetroMate B2B,B2B,Growth Marketing,Retention Campaigns,Retention Campaigns – Fix & Relaunch,Retention Campaigns – Ongoing Review,"growth_marketing,retention_campaigns"
153,MetroMate B2B,B2B,IT Recruitment,Developers Hiring,Developer Hiring – Replacement & Re-sourcing,Developer Hiring – Ongoing Talent Review,"it_recruitment,developers_hiring"
154,MetroMate B2B,B2B,IT Recruitment,QA Hiring,QA Hiring – Replacement & Re-sourcing,QA Hiring – Ongoing Talent Review,"it_recruitment,qa_hiring"
155,MetroMate B2B,B2B,Non-IT Recruitment,Sales Hiring,Sales Hiring – Replacement & Re-sourcing,Sales Hiring – Ongoing Talent Review,"non-it_recruitment,sales_hiring"
156,MetroMate B2B,B2B,Non-IT Recruitment,Admin Hiring,Admin Hiring – Replacement & Re-sourcing,Admin Hiring – Ongoing Talent Review,"non-it_recruitment,admin_hiring"
157,MetroMate B2B,B2B,Temporary Staffing,Event Staff,Event Staff – Replacement & Support,Event Staff – Performance Review,"temporary_staffing,event_staff"
158,MetroMate B2B,B2B,Temporary Staffing,Contract Staff,Contract Staff – Replacement & Support,Contract Staff – Performance Review,"temporary_staffing,contract_staff"
159,MetroMate B2B,B2B,Permanent Staffing,Full-Time Hiring,Full-Time Hiring – Replacement & Re-sourcing,Full-Time Hiring – Ongoing Talent Review,"permanent_staffing,full-time_hiring"
160,MetroMate B2B,B2B,Permanent Staffing,Executive Search,Executive Search – Re-sourcing & Support,Executive Search – Ongoing Talent Review,"permanent_staffing,executive_search"
161,MetroMate B2B + B2C,Both,Bench Resources,Contract Developers,Contract Developers – Replacement & Support,Contract Developers – Performance Review,"bench_resources,contract_developers"
162,MetroMate B2B + B2C,Both,Bench Resources,Project Consultants,Project Consultants – Replacement & Support,Project Consultants – Performance Review,"bench_resources,project_consultants"
163,MetroMate B2B + B2C,Both,Virtual Assistants,Administrative Support,Admin Support VA – Issue Resolution & Replacement,Admin VA – Performance Review,"virtual_assistants,administrative_support"
164,MetroMate B2B + B2C,Both,Virtual Assistants,Customer Support,Customer Support VA – Issue Resolution & Replacement,Customer Support VA – Performance Review,"virtual_assistants,customer_support"
165,MetroMate B2B + B2C,Both,Flight Ticket Booking,Domestic Flights,Domestic Flights – Rebooking & Issue Resolution,Domestic Flights – Travel Plan Review,"flight_ticket_booking,domestic_flights"
166,MetroMate B2B + B2C,Both,Flight Ticket Booking,International Flights,International Flights – Rebooking & Issue Resolution,International Flights – Travel Plan Review,"flight_ticket_booking,international_flights"
167,MetroMate B2B + B2C,Both,Train Ticket Booking,Confirm Ticket,Train Ticket – Rebooking & Issue Resolution,Train Ticket – Travel Plan Review,"train_ticket_booking,confirm_ticket"
